country,date,total_cases,new_cases,total_deaths,new_deaths,region,disease
China,2003-05-01,3638.0,178.0,170.0,11.0,Asia,SARS
China,2003-05-02,3799.0,161.0,181.0,11.0,Asia,SARS
China,2003-05-03,3971.0,172.0,190.0,9.0,Asia,SARS
China,2003-05-05,4280.0,309.0,206.0,16.0,Asia,SARS
China,2003-05-06,4409.0,129.0,214.0,8.0,Asia,SARS
China,2003-05-07,4560.0,151.0,219.0,5.0,Asia,SARS
China,2003-05-08,4698.0,138.0,224.0,5.0,Asia,SARS
China,2003-05-09,4805.0,107.0,230.0,6.0,Asia,SARS
China,2003-05-10,4884.0,79.0,235.0,5.0,Asia,SARS
China,2003-05-12,5013.0,129.0,252.0,17.0,Asia,SARS
China,2003-05-13,5086.0,73.0,262.0,10.0,Asia,SARS
China,2003-05-14,5124.0,38.0,267.0,5.0,Asia,SARS
China,2003-05-15,5163.0,39.0,271.0,4.0,Asia,SARS
China,2003-05-16,5191.0,28.0,275.0,4.0,Asia,SARS
China,2003-05-17,5209.0,18.0,282.0,7.0,Asia,SARS
China,2003-05-19,5236.0,27.0,289.0,7.0,Asia,SARS
China,2003-05-20,5248.0,12.0,294.0,5.0,Asia,SARS
China,2003-05-21,5249.0,1.0,296.0,2.0,Asia,SARS
China,2003-05-22,5271.0,22.0,300.0,4.0,Asia,SARS
China,2003-05-23,5285.0,14.0,303.0,3.0,Asia,SARS
China,2003-05-24,5309.0,24.0,308.0,5.0,Asia,SARS
China,2003-05-26,5316.0,7.0,317.0,9.0,Asia,SARS
China,2003-05-27,5322.0,6.0,321.0,4.0,Asia,SARS
China,2003-05-28,5323.0,1.0,325.0,4.0,Asia,SARS
China,2003-05-29,5325.0,2.0,327.0,2.0,Asia,SARS
China,2003-05-30,5328.0,3.0,328.0,1.0,Asia,SARS
China,2003-05-31,5328.0,0.0,332.0,4.0,Asia,SARS
China,2003-06-02,5328.0,0.0,334.0,2.0,Asia,SARS
China,2003-06-03,5329.0,1.0,334.0,0.0,Asia,SARS
China,2003-06-04,5329.0,0.0,334.0,0.0,Asia,SARS
China,2003-06-05,5329.0,0.0,336.0,2.0,Asia,SARS
China,2003-06-06,5329.0,0.0,338.0,2.0,Asia,SARS
China,2003-06-09,5328.0,0.0,340.0,2.0,Asia,SARS
China,2003-06-10,5328.0,0.0,343.0,3.0,Asia,SARS
China,2003-06-11,5329.0,1.0,343.0,0.0,Asia,SARS
China,2003-06-12,5328.0,0.0,343.0,0.0,Asia,SARS
China,2003-06-13,5327.0,0.0,343.0,0.0,Asia,SARS
China,2003-06-16,5326.0,0.0,346.0,3.0,Asia,SARS
China,2003-06-17,5326.0,0.0,346.0,0.0,Asia,SARS
China,2003-06-18,5326.0,0.0,347.0,1.0,Asia,SARS
China,2003-06-19,5326.0,0.0,347.0,0.0,Asia,SARS
China,2003-06-20,5326.0,0.0,347.0,0.0,Asia,SARS
China,2003-06-23,5326.0,0.0,347.0,0.0,Asia,SARS
China,2003-06-24,5326.0,0.0,347.0,0.0,Asia,SARS
China,2003-06-25,5327.0,1.0,348.0,1.0,Asia,SARS
China,2003-06-26,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-06-27,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-06-30,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-01,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-02,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-03,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-04,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-07,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-08,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-09,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-10,5327.0,0.0,348.0,0.0,Asia,SARS
China,2003-07-11,5327.0,0.0,348.0,0.0,Asia,SARS
Colombia,2003-05-06,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-07,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-08,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-09,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-10,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-12,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-13,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-14,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-15,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-16,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-17,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-19,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-20,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-21,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-22,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-23,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-24,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-26,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-27,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-28,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-29,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-30,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-05-31,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-02,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-03,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-04,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-05,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-06,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-09,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-10,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-11,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-12,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-13,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-16,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-17,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-18,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-19,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-20,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-23,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-24,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-25,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-26,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-27,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-06-30,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-01,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-02,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-03,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-04,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-07,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-08,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-09,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-10,1.0,0.0,0.0,0.0,,SARS
Colombia,2003-07-11,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-08,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-09,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-10,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-12,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-13,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-14,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-15,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-16,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-17,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-19,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-20,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-21,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-22,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-23,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-24,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-26,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-27,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-28,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-29,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-30,1.0,0.0,0.0,0.0,,SARS
Finland,2003-05-31,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-02,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-03,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-04,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-05,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-06,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-09,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-10,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-11,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-12,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-13,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-16,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-17,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-18,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-19,1.0,0.0,0.0,0.0,,SARS
Finland,2003-06-20,1.0,0.0,0.0,0.0,,SARS
